ID,Family,Species
1,Agaricus,A. abruptibulbus
2,Agaricus,A. amicosus
3,Agaricus,A. andrewii
4,Agaricus,A. argenteus
5,Agaricus,A. augustus
6,Agaricus,A. auricolor
7,Agaricus,A. bellanniae
8,Agaricus,A. bernardi
9,Agaricus,A. bisporus
10,Agaricus,A. bitorquis
11,Agaricus,A. brunneofibrillosus
12,Agaricus,A. buckmacadooi
13,Agaricus,A. californicus
14,Agaricus,A. campestris
15,Agaricus,A. chionodermus
16,Agaricus,A. crocodilinus
17,Agaricus,A. deardorffensis
18,Agaricus,A. fissuratus
19,Agaricus,A. floridanus
20,Agaricus,"A. ""haemorrhoidarius"""
21,Agaricus,A. julius
22,Agaricus,A. kriegeri
23,Agaricus,A. leptocaulis
24,Agaricus,A. malangelus
25,Agaricus,A. moronii
26,Agaricus,A. nanaugustus
27,Agaricus,A. pattersoniae
28,Agaricus,A. placomyces
29,Agaricus,A. pocillator
30,Agaricus,A. porphyrocephalus
31,Agaricus,A. porphyrocephalus var. pallidus
32,Agaricus,A. reducibulbus
33,Agaricus,A. xanthodermus
34,Agrocybe,A. acericola
35,Agrocybe,A. biological species II
36,Agrocybe,A. dura
37,Agrocybe,A. firma
38,Agrocybe,A. paludosa
39,Agrocybe,A. pediades
40,Agrocybe,A. praecox
41,Agrocybe,A. retigera
42,Akanthomyces,A. aculeatus
43,Albatrellus,A. caeruleoporus
44,Albatrellus,A. confluens
45,Albatrellus,A. cristatus
46,Albatrellus,A. ovinus
47,Albatrellus,A. pes-caprae
48,Aleuria,A. aurantia
49,Aleuria,A. cestrica
50,Aleurodiscus,A. oakesii
51,Alloclavaria,A. purpurea
52,Allodus,A. podophylli
53,Amanita,A. abrupta
54,Amanita,A. aprica
55,Amanita,A. arkansana
56,Amanita,A. augusta
57,Amanita,A. bisporigera
58,Amanita,A. brunnescens
59,Amanita,A. calyptroderma
60,Amanita,A. ceciliae
61,Amanita,A. chlorinosma
62,Amanita,A. citrina f. lavendula
63,Amanita,A. cokeri
64,Amanita,A. crocea
65,Amanita,A. daucipes
66,Amanita,A. farinosa
67,Amanita,A. flavoconia
68,Amanita,A. flavorubescens
69,Amanita,A. fulva
70,Amanita,A. gemmata
71,Amanita,A. jacksonii
72,Amanita,A. magnivelaris
73,Amanita,A. magniverrucata
74,Amanita,A. multisquamosa
75,Amanita,A. muscaria var. alba
76,Amanita,A. muscaria var. flavivolvata
77,Amanita,A. muscaria var. guessowii
78,Amanita,A. muscaria var. muscaria
79,Amanita,A. muscaria var. persicina
80,Amanita,A. novinupta
81,Amanita,A. mutabilis
82,Amanita,A. onusta
83,Amanita,A. pachycolea
84,Amanita,A. pantherina
85,Amanita,A. parcivolvata
86,Amanita,A. pelioma
87,Amanita,A. phalloides
88,Amanita,A. polypyramis
89,Amanita,A. populiphila
90,Amanita,A. porphyria
91,Amanita,A. prairiicola
92,Amanita,A. rhopalopus
93,Amanita,A. rubescens
94,Amanita,A. rubescens var. alba
95,Amanita,A. russuloides
96,Amanita,A. salmonescens
97,Amanita,A. sinicoflava
98,Amanita,A. smithiana
99,Amanita,"A. sp. ""Sand Dune Amanita"""
100,Amanita,"A. sp. ""Little Brown Amanita"""
101,Amanita,"A. sp. ""Mountain Panther"""
102,Amanita,"A. sp. ""Yellow Caesar"""
103,Amanita,"A. sp. ""Barrows's Amanita"""
104,Amanita,"A. sp. ""Spotted Salamander"""
105,Amanita,A. spreta
106,Amanita,A. submaculata
107,Amanita,A. thiersii
